label;clean_tweet;Hash Words
0;murder let u bombard;#murderer
0;funni attack doctor happen nonbjp state medium decid silent matter doctorsfightback bengalviol kerala doctorsprotest;#doctorsfightback #bengalviolence #kerala #doctorsprotest
0;think focu upheld spo man sprit rather glove suppodhoni dhonikeepstheglov;#suppodhoni #dhonikeepstheglove
0;arrog refus turn c4debat allerg debat hust borisjohnsonshouldnotbepm;#c4debate. #borisjohnsonshouldnotbepm
0;minut left almond oneplus7pro avail sbi cash back rs2000 6 month cost emi quick hand buy oneplus7 oneplus7isher oneplus7pro oneplu wethenoh shameonicc fridaymotiv fridayfeel nbafin;#oneplus7pro #sbi #oneplus7 #oneplus7ishere #oneplus7pro #oneplus #wethenoh #shameonicc #fridaymotivation #fridayfeeling #nbafinals
1;dhonikeepstheglov icc doubl standard allow namaz ground pak player allow wear balidaanbadg glove surrend condemn act icc;#dhonikeepstheglove, #balidaanbadge
0;gandinaaliabus insult premier nation insult entir countri;#gandinaaliabuse
0;good luck tonight pleas knockout arrog douchebag;#knockout #douchebag
1;shameonicc fixtur england match happen sunlight condit bloodi rain nowdaal men kuch kaalaa hai;#shameonicc
0;good one presidentialembarrass fucktrump resist;#presidentialembarrassment #fucktrump #resist
0;amrind singh malhi presid rda aiim resid doctor back work continu symbol protest wear black badg bandageshelmet condit worsen go indefinit strike june 17 doctorsfightback;#doctorsfightback
0;corbyn polit intellectu borisjohnsonshouldnotbepm cannot wait generalelectionnow;#borisjohnsonshouldnotbepm #generalelectionnow
0;doctorsfightback doctorsprotest doctorstrik savethedoctor doctorsagainstassualt dontgiveup kolkataviol kolkata mamtabanerje savebengalsavedemocraci mamtafrustr mamtalosingcontrol savethesaviour savebeng saveourdoctor;#doctorsfightback #doctorsprotest #doctorstrike #savethedoctors #doctors_against_assualt #dontgiveup #kolkataviolence #kolkata #mamtabanerjee #savebengalsavedemocracy #mamtafrustrated #mamtalosingcontrol #savethesaviours #savebengal #saveourdoctors
1;bend bori care wish fuckbrexit fuckthetori fuckbori borisjohnson borisjohnsonshouldnotbepm warriorsofthedystothequ;#fuckbrexit #fuckthetories #fuckboris #borisjohnson #borisjohnsonshouldnotbepm #warriorsofthedystotheque
1;want pm man sold nearli everyon bexit dream done noth good work class peopl want give rich tax break thousand suffer cannot bother interview anoth elton boy borisjohnsonshouldnotbepm;#bexit #borisjohnsonshouldnotbepm
1;trump elect interfer hollow nation resist resisttrump fucktrump;#resist #resisttrump #fucktrump
0;face stori shame 22 crimin jail london week murder rapist hand drug dealer put behind bar;#criminals #jailed #london #murderer, #drug
0;wait fucktrump johnmccaindayjune14th;#fucktrump #johnmccaindayjune14th
0;happyjohnmccainday trumpisatraitor kevin;#happyjohnmccainday #trumpisatraitor
0;virat ask indian fan applaud steve m dhoni six gestur via iccwc2019 dhonikeepstheglov;#iccwc2019 #dhonikeepstheglove
0;happi johnmccainday impeachtrumpnow trumpisatraitor;#johnmccainday #impeachtrumpnow #trumpisatraitor
0;ultimatum work way madam doctorsfightback doctorsstrik doctorsprotest standwithnrsmch;#doctorsfightback #doctorsstrike #doctorsprotest #standwithnrsmch
0;citizen bother doctor bother doctor stop bother doctorsfightback doctorsprotest savethesaviour;#citizens #doctors, #doctorsfightback #doctorsprotest #savethesaviour
1;resist til end also fake fbr like either two biggest threat democraci vote trumpisatraitor ditchmitch2020 trumpcrimefamili;#resister #fbr #trumpisatraitor #ditchmitch2020 #trumpcrimefamily
0;keep tweet guy puppet pakistan shameonicc;#shameonicc
0;happen tattoo half men would undergo remov process dhonikeepstheglov;#dhonikeepstheglove
0;you budget deficit 739 billion despit gop promis trump tariff resist resisttrump fucktrump;#resist #resisttrump #fucktrump
0;keep talk donald impeachthemf fucktrump maga foxnew via;#impeachthemf #fucktrump #maga #foxnews
0;sinc doctorsfightback dear farmer dear sewag cleaner guy stop work cultiv clean let u see mani intellectu mani nation medium guy stand twitter facebook without eat pee poop;#doctorsfightback,
0;want use modelt melani prefer yugo mr faustrol said knew jacki kennedi firstesco jacki kennedi way melani prefer refer imperson pronoun call pennywis douchebag;#modelt, #firstesco #pennywise? #douchebag
1;alabamarapist get parent right teen rape rapist cannot get aboion must let rapist see child auburn huntsvil birmingham montgomeri tuscaloosa florencesc dothan gadsen orangebeach;#alabama......#rapists.... #parental #rapist, #aboion #rapist #auburn #huntsville #birmingham #montgomery #tuscaloosa #florencesc #dothan #gadsen #orangebeach
0;entir incid well plan attack doctor tmc evid question ask journalist doctor press meet today ask extend theor suppo polit pay mb also said colleg doctorsfightback;#doctorsfightback
0;whole nation stand doctor wb doctorsfightback;#doctorsfightback
0;tmc suppoer deepli asham kolkata mayor daughter shabba hakim slam mamata banerje inact silenc protect doctor good see doctor place fratern petti polit savebeng savethedoctor doctorsfightback;#savebengal #savethedoctors #doctorsfightback
0;never forget deal putler murder vladimir putin 1999 russian apamenthous bomb putin respons nation review;#putler #murderer
0;safeguard elect illegitimatepresid trumpisatraitor mcconnellchaocorrupt mcconnelltreason trumptreason goptreason trumpcrimefamilyforprison trumpforprison2020 trumprussia mcconnellrussia indicttrump;#illegitimatepresident #trumpisatraitor #mcconnellchaocorruption #mcconnelltreason #trumptreason #goptreason #trumpcrimefamilyforprison #trumpforprison2020 #trumprussia #mcconnellrussia #indicttrump
0;cat pussi one set nut among laugh loud repost straightup phuckyocouch phuckyofeel killyourself dietwic douchebag twatwaffl dicknozzl asshat phuckboy kickrock foh frfr;#repost #straightup #phuckyocouch #phuckyofeelings #killyourself #dietwice #douchebag #twatwaffle #dicknozzle #asshat #phuckboy #kickrocks #foh #frfr...
0;bori johnson even prime minist yet alreadi miss theresa may bojo borisjohnsonshouldnotbepm;#bojo #borisjohnsonshouldnotbepm
0;found old gem 2ndamend bernie2020 trumpisatraitor gop democrat;#gem #2ndamendment #bernie2020 #trumpisatraitor #gop #democrats
